"state_id","state_name","area_sqkm","state_type"
1,"Andaman and Nicobar","7685.68478190646","Union Territor"
2,"Andhra Pradesh","162475.955924411","State"
3,"Arunachal Pradesh","83129.3876568676","State"
4,"Assam","79087.1464414431","State"
5,"Bihar","94234.5575440773","State"
6,"Chandigarh","120.859130932722","Union Territor"
7,"Chhattisgarh","136252.509360149","State"
8,"Dadra and Nagar Haveli","517.652679526591","Union Territor"
9,"Daman and Diu","596.025846858076","Union Territor"
10,"Delhi","1536.09280055079","Union Territor"
11,"Goa","3874.64476604537","State"
12,"Gujarat","197115.885641391","State"
13,"Haryana","45179.9113911737","State"
14,"Himachal Pradesh","56747.3293432879","Union Territor"
15,"Jammu and Kashmir","108065.531035254","State"
16,"Jharkhand","80043.147851785","State"
17,"Karnataka","197852.827671895","State"
18,"Kerala","38954.264184836","State"
19,"Lakshadweep","36.9512837821655","Union Territor"
20,"Madhya Pradesh","314265.647398869","State"
21,"Maharashtra","317673.586195407","State"
22,"Manipur","22572.6032667394","State"
23,"Meghalaya","22515.3278261035","State"
24,"Mizoram","21307.5813378709","State"
25,"Nagaland","16817.6869699665","State"
26,"Orissa","155874.819714856","State"
27,"Puducherry","558.403175791077","Union Territor"
28,"Punjab","51738.482614304","State"
29,"Rajasthan","356796.65590607","State"
30,"Sikkim","7081.15972281399","State"
31,"Tamil Nadu","133021.56843422","State"
32,"Telangana","116682.962233906","State"
33,"Tripura","10500.3074747798","State"
34,"Uttar Pradesh","243188.245340086","State"
35,"Uttaranchal","54527.1044256819","State"
36,"West Bengal","85194.911417313","State"
