state_id,state_name,population,total_suicides,farming_suicides,nsa_khect,suicides_pmh
21,Maharashtra,112372972,16970,4291,17368,247.0635652
17,Karnataka,61130704,10786,1569,9925,158.0856423
32,Telangana,35286757,10140,1400,4961,282.2011691
20,Madhya Pradesh,72597565,10293,1290,15422,83.64673843
7,Chhattisgarh,25540196,7118,954,4686,203.5851472
2,Andhra Pradesh,49386799,6226,916,6448,142.0595533
31,Tamil Nadu,72138958,15777,606,4714,128.5532457
34,Uttar Pradesh,199281477,3902,324,16546,19.58177203
12,Gujarat,60383628,7246,301,10302,29.21762765
18,Kerala,33387677,7692,210,2051,102.3890785
13,Haryana,25353081,3545,162,3497,46.32542179
4,Assam,31169272,3231,138,2820,48.93617021
28,Punjab,27704236,1049,124,4145,29.91556092
29,Rajasthan,68621012,3457,76,18268,4.160280272
26,Orissa,41947358,4087,50,4495,11.12347052
33,Tripura,3671032,746,49,255,192.1568627
14,Himachal Pradesh,6864602,543,46,550,83.63636364
16,Jharkhand,32966238,835,21,1384,15.1734104
15,Jammu and Kashmir,12548926,372,21,741,28.34008097
30,Sikkim,607688,241,18,77,233.7662338
27,Puducherry,1244464,711,12,15,800
3,Arunachal Pradesh,1382611,135,10,225,44.44444444
5,Bihar,103804637,516,7,5252,1.33282559
23,Meghalaya,2964007,172,3,286,10.48951049
35,Uttaranchal,10116752,475,2,701,2.853067047
24,Mizoram,1091014,123,1,114,8.771929825
22,Manipur,2721756,37,1,377,2.652519894
36,West Bengal,91347736,14602,0,5234,0
10,Delhi,18980000,1845,0,22,0
11,Goa,1457723,302,0,129,0
1,Andaman and Nicobar,379944,158,0,15,0
6,Chandigarh,1055450,121,0,1,0
8,Dadra and Nagar Haveli,342853,106,0,19,0
9,Daman and Diu,242911,38,0,3,0
25,Nagaland,1980602,21,0,380,0
19,Lakshadweep,64429,5,0,2,0
